SimulationTime(s),VehicleID,Speed(km/h),Acceleration(m/s^2),Distance(odometer),Latitude,Longitude,FuelConsumption(mg/s),EletricEnergyConsumption(Wh/s),NoiseEmission(dB),CO2Emission(g)
90.0,vehTest,0.0,0.0,1248.3689024167052,-5.811962734880688,-35.21583227351364,837.2222222222222,0.0,55.94027641010837,0.7592061208977777
91.0,vehTest,0.0,0.0,1248.3689024167052,-5.811962734880688,-35.21583227351364,837.2222222222222,0.0,55.94027641010837,0.7592061208977777
92.0,vehTest,0.0,0.0,1248.3689024167052,-5.811962734880688,-35.21583227351364,837.2222222222222,0.0,55.94027641010837,0.7592061208977777
93.0,vehTest,0.0,0.0,1248.3689024167052,-5.811962734880688,-35.21583227351364,837.2222222222222,0.0,55.94027641010837,0.7592061208977777
94.0,vehTest,0.0,0.0,1248.3689024167052,-5.811962734880688,-35.21583227351364,837.2222222222222,0.0,55.94027641010837,0.7592061208977777
95.0,vehTest,0.0,0.0,1248.3689024167052,-5.811962734880688,-35.21583227351364,837.2222222222222,0.0,55.94027641010837,0.7592061208977777
96.0,vehTest,0.0,0.0,1248.3689024167052,-5.811962734880688,-35.21583227351364,837.2222222222222,0.0,55.94027641010837,0.7592061208977777
97.0,vehTest,0.0,0.0,1248.3689024167052,-5.811962734880688,-35.21583227351364,837.2222222222222,0.0,55.94027641010837,0.7592061208977777
98.0,vehTest,0.0,0.0,1248.3689024167052,-5.811962734880688,-35.21583227351364,837.2222222222222,0.0,55.94027641010837,0.7592061208977777
99.0,vehTest,0.0,0.0,1248.3689024167052,-5.811962734880688,-35.21583227351364,837.2222222222222,0.0,55.94027641010837,0.7592061208977777
100.0,vehTest,0.0,0.0,1248.3689024167052,-5.811962734880688,-35.21583227351364,837.2222222222222,0.0,55.94027641010837,0.7592061208977777
101.0,vehTest,0.0,0.0,1248.3689024167052,-5.811962734880688,-35.21583227351364,837.2222222222222,0.0,55.94027641010837,0.7592061208977777
102.0,vehTest,0.0,0.0,1248.3689024167052,-5.811962734880688,-35.21583227351364,837.2222222222222,0.0,55.94027641010837,0.7592061208977777
103.0,vehTest,0.0,0.0,1248.3689024167052,-5.811962734880688,-35.21583227351364,837.2222222222222,0.0,55.94027641010837,0.7592061208977777
104.0,vehTest,0.0,0.0,1248.3689024167052,-5.811962734880688,-35.21583227351364,837.2222222222222,0.0,55.94027641010837,0.7592061208977777
105.0,vehTest,0.0,0.0,1248.3689024167052,-5.811962734880688,-35.21583227351364,837.2222222222222,0.0,55.94027641010837,0.7592061208977777
106.0,vehTest,0.0,0.0,1248.3689024167052,-5.811962734880688,-35.21583227351364,837.2222222222222,0.0,55.94027641010837,0.7592061208977777
107.0,vehTest,0.0,0.0,1248.3689024167052,-5.811962734880688,-35.21583227351364,837.2222222222222,0.0,55.94027641010837,0.7592061208977777
108.0,vehTest,0.0,0.0,1248.3689024167052,-5.811962734880688,-35.21583227351364,837.2222222222222,0.0,55.94027641010837,0.7592061208977777
109.0,vehTest,0.0,0.0,1248.3689024167052,-5.811962734880688,-35.21583227351364,837.2222222222222,0.0,55.94027641010837,0.7592061208977777
110.0,vehTest,0.0,0.0,1248.3689024167052,-5.811962734880688,-35.21583227351364,837.2222222222222,0.0,55.94027641010837,0.7592061208977777
111.0,vehTest,0.0,0.0,1248.3689024167052,-5.811962734880688,-35.21583227351364,837.2222222222222,0.0,55.94027641010837,0.7592061208977777
112.0,vehTest,0.0,0.0,1248.3689024167052,-5.811962734880688,-35.21583227351364,837.2222222222222,0.0,55.94027641010837,0.7592061208977777
113.0,vehTest,0.0,0.0,1248.3689024167052,-5.811962734880688,-35.21583227351364,837.2222222222222,0.0,55.94027641010837,0.7592061208977777
114.0,vehTest,0.0,0.0,1248.3689024167052,-5.811962734880688,-35.21583227351364,837.2222222222222,0.0,55.94027641010837,0.7592061208977777
115.0,vehTest,0.0,0.0,1248.3689024167052,-5.811962734880688,-35.21583227351364,837.2222222222222,0.0,55.94027641010837,0.7592061208977777
116.0,vehTest,0.0,0.0,1248.3689024167052,-5.811962734880688,-35.21583227351364,837.2222222222222,0.0,55.94027641010837,0.7592061208977777
117.0,vehTest,0.0,0.0,1248.3689024167052,-5.811962734880688,-35.21583227351364,837.2222222222222,0.0,55.94027641010837,0.7592061208977777
118.0,vehTest,0.0,0.0,1248.3689024167052,-5.811962734880688,-35.21583227351364,837.2222222222222,0.0,55.94027641010837,0.7592061208977777
119.0,vehTest,0.0,0.0,1248.3689024167052,-5.811962734880688,-35.21583227351364,837.2222222222222,0.0,55.94027641010837,0.7592061208977777
120.0,vehTest,0.0,0.0,1248.3689024167052,-5.811962734880688,-35.21583227351364,837.2222222222222,0.0,55.94027641010837,0.7592061208977777
121.0,vehTest,0.0,0.0,1248.3689024167052,-5.811962734880688,-35.21583227351364,837.2222222222222,0.0,55.94027641010837,0.7592061208977777
122.0,vehTest,0.0,0.0,1248.3689024167052,-5.811962734880688,-35.21583227351364,837.2222222222222,0.0,55.94027641010837,0.7592061208977777
123.0,vehTest,0.0,0.0,1248.3689024167052,-5.811962734880688,-35.21583227351364,837.2222222222222,0.0,55.94027641010837,0.7592061208977777
124.0,vehTest,0.0,0.0,1248.3689024167052,-5.811962734880688,-35.21583227351364,837.2222222222222,0.0,55.94027641010837,0.7592061208977777
125.0,vehTest,0.0,0.0,1248.3689024167052,-5.811962734880688,-35.21583227351364,837.2222222222222,0.0,55.94027641010837,0.7592061208977777
126.0,vehTest,0.0,0.0,1248.3689024167052,-5.811962734880688,-35.21583227351364,837.2222222222222,0.0,55.94027641010837,0.7592061208977777
127.0,vehTest,0.0,0.0,1248.3689024167052,-5.811962734880688,-35.21583227351364,837.2222222222222,0.0,55.94027641010837,0.7592061208977777
128.0,vehTest,0.0,0.0,1248.3689024167052,-5.811962734880688,-35.21583227351364,837.2222222222222,0.0,55.94027641010837,0.7592061208977777
129.0,vehTest,0.0,0.0,1248.3689024167052,-5.811962734880688,-35.21583227351364,837.2222222222222,0.0,55.94027641010837,0.7592061208977777
130.0,vehTest,0.0,0.0,1248.3689024167052,-5.811962734880688,-35.21583227351364,837.2222222222222,0.0,55.94027641010837,0.7592061208977777
131.0,vehTest,0.0,0.0,1248.3689024167052,-5.811962734880688,-35.21583227351364,837.2222222222222,0.0,55.94027641010837,0.7592061208977777
132.0,vehTest,0.0,0.0,1248.3689024167052,-5.811962734880688,-35.21583227351364,837.2222222222222,0.0,55.94027641010837,0.7592061208977777
133.0,vehTest,0.0,0.0,1248.3689024167052,-5.811962734880688,-35.21583227351364,837.2222222222222,0.0,55.94027641010837,0.7592061208977777
134.0,vehTest,0.0,0.0,1248.3689024167052,-5.811962734880688,-35.21583227351364,837.2222222222222,0.0,55.94027641010837,0.7592061208977777
135.0,vehTest,0.0,0.0,1248.3689024167052,-5.811962734880688,-35.21583227351364,837.2222222222222,0.0,55.94027641010837,0.7592061208977777
136.0,vehTest,0.0,0.0,1248.3689024167052,-5.811962734880688,-35.21583227351364,837.2222222222222,0.0,55.94027641010837,0.7592061208977777
137.0,vehTest,0.0,0.0,1248.3689024167052,-5.811962734880688,-35.21583227351364,837.2222222222222,0.0,55.94027641010837,0.7592061208977777
138.0,vehTest,0.0,0.0,1248.3689024167052,-5.811962734880688,-35.21583227351364,837.2222222222222,0.0,55.94027641010837,0.7592061208977777
139.0,vehTest,0.0,0.0,1248.3689024167052,-5.811962734880688,-35.21583227351364,837.2222222222222,0.0,55.94027641010837,0.7592061208977777
140.0,vehTest,0.0,0.0,1248.3689024167052,-5.811962734880688,-35.21583227351364,837.2222222222222,0.0,55.94027641010837,0.7592061208977777
141.0,vehTest,0.0,0.0,1248.3689024167052,-5.811962734880688,-35.21583227351364,837.2222222222222,0.0,55.94027641010837,0.7592061208977777
142.0,vehTest,0.0,0.0,1248.3689024167052,-5.811962734880688,-35.21583227351364,837.2222222222222,0.0,55.94027641010837,0.7592061208977777
143.0,vehTest,0.0,0.0,1248.3689024167052,-5.811962734880688,-35.21583227351364,837.2222222222222,0.0,55.94027641010837,0.7592061208977777
144.0,vehTest,0.0,0.0,1248.3689024167052,-5.811962734880688,-35.21583227351364,837.2222222222222,0.0,55.94027641010837,0.7592061208977777
145.0,vehTest,0.0,0.0,1248.3689024167052,-5.811962734880688,-35.21583227351364,837.2222222222222,0.0,55.94027641010837,0.7592061208977777
146.0,vehTest,0.0,0.0,1248.3689024167052,-5.811962734880688,-35.21583227351364,837.2222222222222,0.0,55.94027641010837,0.7592061208977777
147.0,vehTest,0.0,0.0,1248.3689024167052,-5.811962734880688,-35.21583227351364,837.2222222222222,0.0,55.94027641010837,0.7592061208977777
148.0,vehTest,0.0,0.0,1248.3689024167052,-5.811962734880688,-35.21583227351364,837.2222222222222,0.0,55.94027641010837,0.7592061208977777
149.0,vehTest,0.0,0.0,1248.3689024167052,-5.811962734880688,-35.21583227351364,837.2222222222222,0.0,55.94027641010837,0.7592061208977777
150.0,vehTest,0.0,0.0,1248.3689024167052,-5.811962734880688,-35.21583227351364,837.2222222222222,0.0,55.94027641010837,0.7592061208977777
151.0,vehTest,0.0,0.0,1248.3689024167052,-5.811962734880688,-35.21583227351364,837.2222222222222,0.0,55.94027641010837,0.7592061208977777
152.0,vehTest,0.0,0.0,1248.3689024167052,-5.811962734880688,-35.21583227351364,837.2222222222222,0.0,55.94027641010837,0.7592061208977777
153.0,vehTest,0.0,0.0,1248.3689024167052,-5.811962734880688,-35.21583227351364,837.2222222222222,0.0,55.94027641010837,0.7592061208977777
154.0,vehTest,0.0,0.0,1248.3689024167052,-5.811962734880688,-35.21583227351364,837.2222222222222,0.0,55.94027641010837,0.7592061208977777
155.0,vehTest,0.0,0.0,1248.3689024167052,-5.811962734880688,-35.21583227351364,837.2222222222222,0.0,55.94027641010837,0.7592061208977777
156.0,vehTest,0.0,0.0,1248.3689024167052,-5.811962734880688,-35.21583227351364,837.2222222222222,0.0,55.94027641010837,0.7592061208977777
157.0,vehTest,0.0,0.0,1248.3689024167052,-5.811962734880688,-35.21583227351364,837.2222222222222,0.0,55.94027641010837,0.7592061208977777
158.0,vehTest,0.0,0.0,1248.3689024167052,-5.811962734880688,-35.21583227351364,837.2222222222222,0.0,55.94027641010837,0.7592061208977777
159.0,vehTest,0.0,0.0,1248.3689024167052,-5.811962734880688,-35.21583227351364,837.2222222222222,0.0,55.94027641010837,0.7592061208977777
160.0,vehTest,0.0,0.0,1248.3689024167052,-5.811962734880688,-35.21583227351364,837.2222222222222,0.0,55.94027641010837,0.7592061208977777
161.0,vehTest,0.0,0.0,1248.3689024167052,-5.811962734880688,-35.21583227351364,837.2222222222222,0.0,55.94027641010837,0.7592061208977777
162.0,vehTest,0.0,0.0,1248.3689024167052,-5.811962734880688,-35.21583227351364,837.2222222222222,0.0,55.94027641010837,0.7592061208977777
163.0,vehTest,0.0,0.0,1248.3689024167052,-5.811962734880688,-35.21583227351364,837.2222222222222,0.0,55.94027641010837,0.7592061208977777
164.0,vehTest,0.0,0.0,1248.3689024167052,-5.811962734880688,-35.21583227351364,837.2222222222222,0.0,55.94027641010837,0.7592061208977777
165.0,vehTest,0.0,0.0,1248.3689024167052,-5.811962734880688,-35.21583227351364,837.2222222222222,0.0,55.94027641010837,0.7592061208977777
166.0,vehTest,0.0,0.0,1248.3689024167052,-5.811962734880688,-35.21583227351364,837.2222222222222,0.0,55.94027641010837,0.7592061208977777
167.0,vehTest,0.0,0.0,1248.3689024167052,-5.811962734880688,-35.21583227351364,837.2222222222222,0.0,55.94027641010837,0.7592061208977777
168.0,vehTest,0.0,0.0,1248.3689024167052,-5.811962734880688,-35.21583227351364,837.2222222222222,0.0,55.94027641010837,0.7592061208977777
169.0,vehTest,0.0,0.0,1248.3689024167052,-5.811962734880688,-35.21583227351364,837.2222222222222,0.0,55.94027641010837,0.7592061208977777
170.0,vehTest,0.0,0.0,1248.3689024167052,-5.811962734880688,-35.21583227351364,837.2222222222222,0.0,55.94027641010837,0.7592061208977777
171.0,vehTest,0.0,0.0,1248.3689024167052,-5.811962734880688,-35.21583227351364,837.2222222222222,0.0,55.94027641010837,0.7592061208977777
172.0,vehTest,0.0,0.0,1248.3689024167052,-5.811962734880688,-35.21583227351364,837.2222222222222,0.0,55.94027641010837,0.7592061208977777
173.0,vehTest,0.0,0.0,1248.3689024167052,-5.811962734880688,-35.21583227351364,837.2222222222222,0.0,55.94027641010837,0.7592061208977777
174.0,vehTest,0.0,0.0,1248.3689024167052,-5.811962734880688,-35.21583227351364,837.2222222222222,0.0,55.94027641010837,0.7592061208977777
175.0,vehTest,0.0,0.0,1248.3689024167052,-5.811962734880688,-35.21583227351364,837.2222222222222,0.0,55.94027641010837,0.7592061208977777
176.0,vehTest,0.0,0.0,1248.3689024167052,-5.811962734880688,-35.21583227351364,837.2222222222222,0.0,55.94027641010837,0.7592061208977777
177.0,vehTest,0.0,0.0,1248.3689024167052,-5.811962734880688,-35.21583227351364,837.2222222222222,0.0,55.94027641010837,0.7592061208977777
178.0,vehTest,0.0,0.0,1248.3689024167052,-5.811962734880688,-35.21583227351364,837.2222222222222,0.0,55.94027641010837,0.7592061208977777
